product_names,links,product_price,index_,price_old_dix,price_old_list,discount_dix,discount_list,discount_dix_Student,discount_list_Student,Brand
Laptop Lenovo Ideapad Slim 3 14IRH8 83EL0023VN,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-3-14irh8-83el0023vn.html,17.490.000đ,112,112.0,18.490.000đ,112.0,Giảm 5%,112.0,700.000đ,Laptop Lenovo
Laptop ASUS Vivobook 15X OLED M3504YA-L1332W,https://cellphones.com.vn/laptop-asus-vivobook-15x-oled-m3504ya-l1332w.html,15.990.000đ,113,113.0,18.490.000đ,113.0,Giảm 14%,113.0,640.000đ,Laptop ASUS
Laptop Dell Vostro 3520,https://cellphones.com.vn/laptop-dell-vostro-3520-i7-1255u-8gb-512gb.html,18.490.000đ,114,114.0,18.990.000đ,114.0,Giảm 3%,114.0,740.000đ,Laptop Dell
Laptop ASUS TUF Gaming F15 FX507VU-LP198W,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507vu-lp198w.html,27.490.000đ,115,115.0,30.990.000đ,115.0,Giảm 11%,115.0,800.000đ,Laptop ASUS
Laptop Acer Aspire 5 Spin 14 A5SP14-51MTN-573X,https://cellphones.com.vn/laptop-acer-aspire-5-spin-14-a5sp14-51mtn-573x.html,14.990.000đ,116,116.0,20.990.000đ,116.0,Giảm 29%,116.0,600.000đ,Laptop Acer
Laptop Gigabyte G5 KF-E3PH333SH,https://cellphones.com.vn/laptop-gigabyte-g5-kf-e3ph333sh.html,21.990.000đ,117,117.0,25.990.000đ,117.0,Giảm 15%,117.0,800.000đ,Laptop Gigabyte
Laptop ASUS TUF Gaming A15 FA506NFR-HN075W,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa506nfr-hn075w.html,18.990.000đ,118,118.0,22.990.000đ,118.0,Giảm 17%,118.0,760.000đ,Laptop ASUS
Laptop ASUS VivoBook 15 X1504VA-NJ070W,https://cellphones.com.vn/laptop-asus-vivobook-15-x1504va-nj070w.html,15.790.000đ,119,119.0,18.490.000đ,119.0,Giảm 15%,119.0,632.000đ,Laptop ASUS
MacBook Air 15 inch M2 2023 8GB 256GB sạc 35W | Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-air-15-inch-m2-2023.html,27.490.000đ,120,120.0,32.990.000đ,120.0,Giảm 17%,120.0,500.000đ,MacBook Air
Laptop ASUS TUF Gaming A15 FA507NUR-LP101W,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa507nur-lp101w.html,25.990.000đ,121,121.0,30.490.000đ,121.0,Giảm 15%,121.0,800.000đ,Laptop ASUS
Laptop ASUS Vivobook 15 OLED A1505VA-MA492W,https://cellphones.com.vn/laptop-asus-vivobook-15-oled-a1505va-ma492w.html,20.490.000đ,122,122.0,21.990.000đ,122.0,Giảm 7%,122.0,800.000đ,Laptop ASUS
Laptop Huawei Matebook D15,https://cellphones.com.vn/laptop-huawei-matebook-d15-r7-5700u.html,10.990.000đ,123,123.0,13.990.000đ,123.0,Giảm 21%,123.0,440.000đ,Laptop Huawei
Laptop Lenovo ThinkBook 14 G6 IRL 21KG00BQVN,https://cellphones.com.vn/laptop-lenovo-thinkbook-14-g6-irl-21kg00bqvn.html,21.490.000đ,124,124.0,21.990.000đ,124.0,Giảm 2%,124.0,800.000đ,Laptop Lenovo
Laptop ASUS Vivobook S 15 S5507QA-MA092WS Copilot+ X Plus,https://cellphones.com.vn/laptop-asus-vivobook-s-15-s5507qa-ma092ws-copilot-x-plus.html,25.490.000đ,125,125.0,26.990.000đ,125.0,Giảm 6%,125.0,800.000đ,Laptop ASUS
Laptop Dell Inspiron 15 3520 YTC9K,https://cellphones.com.vn/laptop-dell-inspiron-15-3520-ytc9k.html,12.590.000đ,126,126.0,13.990.000đ,126.0,Giảm 10%,126.0,504.000đ,Laptop Dell
Laptop ASUS Vivobook 15 X1504ZA-NJ1039W,https://cellphones.com.vn/laptop-asus-vivobook-15-x1504za-nj1039w.html,16.490.000đ,127,127.0,17.990.000đ,127.0,Giảm 8%,127.0,660.000đ,Laptop ASUS
Laptop Lenovo ThinkPad E16 Gen 1 21JN00GJVN,https://cellphones.com.vn/laptop-lenovo-thinkpad-e16-gen-1-21jn00gjvn.html,18.990.000đ,128,128.0,20.990.000đ,128.0,Giảm 10%,128.0,760.000đ,Laptop Lenovo
MacBook Air M3 15 inch 2024 8GB - 256GB | Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-air-m3-15-inch-2024.html,31.190.000đ,129,129.0,32.990.000đ,129.0,Giảm 5%,129.0,500.000đ,MacBook Air
Laptop Lenovo ThinkBook 14 G6 ABP 21KJ005HVN,https://cellphones.com.vn/laptop-lenovo-thinkbook-14-g6-abp-21kj005hvn.html,18.490.000đ,130,130.0,21.990.000đ,130.0,Giảm 16%,130.0,740.000đ,Laptop Lenovo
Laptop ASUS Zenbook DUO UX8406MA-PZ307W,https://cellphones.com.vn/laptop-asus-zenbook-duo-ux8406ma-pz307w.html,45.990.000đ,131,131.0,49.990.000đ,131.0,Giảm 8%,131.0,800.000đ,Laptop ASUS
Laptop ASUS TUF Gaming F15 FX507VV-LP157W,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507vv-lp157w.html,31.990.000đ,132,132.0,37.490.000đ,132.0,Giảm 15%,132.0,800.000đ,Laptop ASUS
Macbook Pro 14 M3 Pro 36GB - 512GB | Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-pro-14-inch-m3-pro-2023-36gb-512gb.html,59.490.000đ,133,133.0,59.990.000đ,133.0,Giảm 1%,133.0,500.000đ,Macbook Pro
Laptop LG Gram 2023 14Z90RS-G.AH54A5,https://cellphones.com.vn/laptop-lg-gram-2023-14z90rs-g-ah54a5.html,27.990.000đ,134,134.0,38.990.000đ,134.0,Giảm 28%,134.0,800.000đ,Laptop LG
Laptop Gaming Acer Nitro V ANV15-51-75GS,https://cellphones.com.vn/laptop-gaming-acer-nitro-v-anv15-51-75gs.html,28.990.000đ,135,135.0,29.990.000đ,135.0,Giảm 3%,135.0,800.000đ,Laptop Gaming
Laptop MSI Gaming GF63 THIN 12UC-1006VN,https://cellphones.com.vn/laptop-msi-gaming-gf63-thin-12uc-1006vn.html,17.490.000đ,136,136.0,19.990.000đ,136.0,Giảm 13%,136.0,700.000đ,Laptop MSI
Mac mini M2 2023 (8 CPU - 10 GPU - 16GB - 256GB) | Chính hãng Apple Việt Nam,https://cellphones.com.vn/mac-mini-m2-16gb-2023.html,19.690.000đ,137,137.0,22.990.000đ,137.0,Giảm 14%,137.0,500.000đ,Mac mini
Laptop Lenovo IdeaPad Slim 5 14IMH9 83DA006TVN,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-14imh9-83da006tvn.html,21.990.000đ,138,138.0,23.690.000đ,138.0,Giảm 7%,138.0,800.000đ,Laptop Lenovo
Laptop ASUS VivoBook S 14 OLED S5406MA-PP136W,https://cellphones.com.vn/laptop-asus-vivobook-s-14-oled-s5406ma-pp136w.html,24.390.000đ,139,139.0,26.990.000đ,139.0,Giảm 10%,139.0,800.000đ,Laptop ASUS
Laptop ASUS ROG Strix G16 G614JV-N4156W,https://cellphones.com.vn/laptop-asus-rog-strix-g16-g614jv-n4156w.html,39.990.000đ,140,140.0,44.990.000đ,140.0,Giảm 11%,140.0,800.000đ,Laptop ASUS
Laptop Lenovo V14 G4 AMN 82YT00M8VN,https://cellphones.com.vn/laptop-lenovo-v14-g4-amn-82yt00m8vn.html,11.990.000đ,141,141.0,14.990.000đ,141.0,Giảm 20%,141.0,480.000đ,Laptop Lenovo
Laptop HP 15 250 G8 85C69EA,https://cellphones.com.vn/laptop-hp-15-250-g8-85c69ea.html,10.990.000đ,142,142.0,12.990.000đ,142.0,Giảm 15%,142.0,440.000đ,Laptop HP
Laptop ASUS Vivobook S 15 S5507QA-MA089WS Copilot+ X Elite,https://cellphones.com.vn/laptop-asus-vivobook-s-15-s5507qa-ma089ws-copilot-x-elite.html,34.990.000đ,143,,,,,143.0,800.000đ,Laptop ASUS
Laptop MSI Gaming Bravo 15 C7VFK-275VN,https://cellphones.com.vn/laptop-msi-gaming-bravo-15-c7vfk-275vn.html,24.990.000đ,144,144.0,28.990.000đ,144.0,Giảm 14%,144.0,800.000đ,Laptop MSI
Laptop Lenovo Ideapad Slim 5 14IMH9 83DA006UVN,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-14imh9-83da006uvn.html,24.490.000đ,145,145.0,26.590.000đ,145.0,Giảm 8%,145.0,800.000đ,Laptop Lenovo
Laptop ASUS ROG Strix G16 G614JVR-N4162W,https://cellphones.com.vn/laptop-asus-rog-strix-g16-g614jvr-n4162w.html,47.990.000đ,146,146.0,52.990.000đ,146.0,Giảm 9%,146.0,800.000đ,Laptop ASUS
Laptop Lenovo ThinkPad E14 GEN 5 21JK006BVN,https://cellphones.com.vn/laptop-lenovo-thinkpad-e14-gen-5-21jk006bvn.html,19.790.000đ,147,147.0,22.990.000đ,147.0,Giảm 14%,147.0,792.000đ,Laptop Lenovo
Laptop Lenovo Yoga Slim 6 14IRH8 83E00008VN,https://cellphones.com.vn/laptop-lenovo-yoga-slim-6-14irh8-83e00008vn.html,24.990.000đ,148,148.0,26.890.000đ,148.0,Giảm 7%,148.0,800.000đ,Laptop Lenovo
Laptop Gaming Acer Nitro 5 AN515-58-5193,https://cellphones.com.vn/laptop-gaming-acer-nitro-5-an515-58-5193.html,22.990.000đ,149,149.0,23.990.000đ,149.0,Giảm 4%,149.0,800.000đ,Laptop Gaming
Laptop Gaming Acer Nitro V ANV15-51-58AN,https://cellphones.com.vn/laptop-gaming-acer-nitro-v-anv15-51-58an.html,18.990.000đ,150,150.0,21.490.000đ,150.0,Giảm 12%,150.0,760.000đ,Laptop Gaming
Laptop Gigabyte G5 KF5-53VN353SH,https://cellphones.com.vn/laptop-gigabyte-g5-kf5-53vn353sh.html,24.490.000đ,151,151.0,29.990.000đ,151.0,Giảm 18%,151.0,800.000đ,Laptop Gigabyte
Laptop Lenovo Legion 7 16IRX9 83FD004MVN,https://cellphones.com.vn/laptop-lenovo-legion-7-16irx9-83fd004mvn.html,62.990.000đ,152,152.0,66.990.000đ,152.0,Giảm 6%,152.0,800.000đ,Laptop Lenovo
Laptop ASUS TUF Gaming A15 FA507NV-LP061W,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa507nv-lp061w.html,28.990.000đ,153,153.0,34.990.000đ,153.0,Giảm 17%,153.0,800.000đ,Laptop ASUS
Laptop ASUS Gaming ROG Zephyrus G16 GU603VU-N4019W,https://cellphones.com.vn/laptop-asus-gaming-rog-zephyrus-g16-gu603vu-n4019w.html,38.690.000đ,154,154.0,44.990.000đ,154.0,Giảm 14%,154.0,800.000đ,Laptop ASUS
Laptop ASUS ExpertBook B1 B1402CVA-NK0149W,https://cellphones.com.vn/laptop-asus-expertbook-b1402cva-nk0149w.html,12.490.000đ,155,155.0,14.990.000đ,155.0,Giảm 17%,155.0,500.000đ,Laptop ASUS
Laptop ASUS Vivobook S 14 OLED S5406MA-PP046WS,https://cellphones.com.vn/laptop-asus-vivoboook-s-14-oled-s5406ma-pp046ws.html,24.390.000đ,156,156.0,26.990.000đ,156.0,Giảm 10%,156.0,800.000đ,Laptop ASUS
Laptop ASUS TUF Gaming F15 FX507VV-LP304W,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507vv-lp304w.html,33.790.000đ,157,157.0,37.990.000đ,157.0,Giảm 11%,157.0,800.000đ,Laptop ASUS
MacBook Air M3 15 inch 2024 16GB - 256GB sạc 70W | Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-air-m3-15-inch-2024-16gb-256gb.html,36.590.000đ,158,158.0,37.990.000đ,158.0,Giảm 4%,158.0,500.000đ,MacBook Air
MacBook Pro 14 M3 Pro 18GB - 1TB | Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-pro-14-inch-m3-pro-2023-18gb-1tb.html,58.990.000đ,159,159.0,59.990.000đ,159.0,Giảm 2%,159.0,500.000đ,MacBook Pro
Laptop ASUS Vivobook S 14 OLED S5406MA-PP198WS,https://cellphones.com.vn/laptop-asus-vivoboook-s-14-oled-s5406ma-pp198ws.html,26.890.000đ,160,160.0,29.990.000đ,160.0,Giảm 10%,160.0,800.000đ,Laptop ASUS
Laptop Dell Vostro 3520 F0V0V,https://cellphones.com.vn/laptop-dell-vostro-3520-f0v0v.html,12.590.000đ,161,161.0,13.990.000đ,161.0,Giảm 10%,161.0,504.000đ,Laptop Dell
Laptop gaming MSI Thin A15 B7UCX 020VN,https://cellphones.com.vn/laptop-msi-gaming-thin-a15-b7ucx-020vn.html,15.490.000đ,162,162.0,18.990.000đ,162.0,Giảm 18%,162.0,620.000đ,Laptop gaming
Laptop Lenovo V15 G4 IRU 83A100FYVN,https://cellphones.com.vn/laptop-lenovo-v15-g4-iru-83a100fyvn.html,14.690.000đ,163,163.0,15.490.000đ,163.0,Giảm 5%,163.0,588.000đ,Laptop Lenovo
Laptop ASUS ROG Strix G16 G614JU-N4132W,https://cellphones.com.vn/laptop-asus-rog-strix-g16-g614ju-n4132w.html,36.990.000đ,164,164.0,41.990.000đ,164.0,Giảm 12%,164.0,800.000đ,Laptop ASUS
Laptop Acer Aspire 5 A515-58GM-59LJ,https://cellphones.com.vn/laptop-acer-aspire-5-a515-58gm-59lj.html,15.990.000đ,165,165.0,20.490.000đ,165.0,Giảm 22%,165.0,640.000đ,Laptop Acer
Mac mini M2 2023 (8 CPU - 10 GPU - 16GB - 512GB) | Chính hãng Apple Việt Nam,https://cellphones.com.vn/mac-mini-m2-16gb-512gb-2023.html,24.590.000đ,166,166.0,27.990.000đ,166.0,Giảm 12%,166.0,500.000đ,Mac mini
Laptop ASUS TUF Gaming A15 FA506NCR-HN047W,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa506ncr-hn047w.html,20.990.000đ,167,167.0,23.490.000đ,167.0,Giảm 11%,167.0,800.000đ,Laptop ASUS
Laptop ASUS TUF Gaming A15 FA507NVR-LP091W,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa507nvr-lp091w.html,27.990.000đ,168,168.0,32.490.000đ,168.0,Giảm 14%,168.0,800.000đ,Laptop ASUS
Laptop ASUS ZenBook S 13 OLED UX5304VA-NQ125W,https://cellphones.com.vn/laptop-asus-zenbook-s-13-oled-ux5304va-nq125w.html,32.990.000đ,169,169.0,39.990.000đ,169.0,Giảm 18%,169.0,800.000đ,Laptop ASUS
Laptop HP Pavilion 15-EG2089TU 7C0R1PA,https://cellphones.com.vn/laptop-hp-pavilion-15-eg2089tu-7c0r1pa.html,18.990.000đ,170,170.0,21.900.000đ,170.0,Giảm 13%,170.0,760.000đ,Laptop HP
Laptop Gigabyte G6 MF-H2VN854KH,https://cellphones.com.vn/laptop-gigabyte-g6-mf-h2vn854kh.html,25.990.000đ,171,171.0,27.590.000đ,171.0,Giảm 6%,171.0,800.000đ,Laptop Gigabyte
Laptop Acer Swift Go 14 AI SFG14-73-53X7 NX.KSLSV.001,https://cellphones.com.vn/laptop-acer-swift-go-14-ai-sfg14-73-53x7.html,22.990.000đ,172,172.0,23.990.000đ,172.0,Giảm 4%,172.0,800.000đ,Laptop Acer
MacBook Pro 16 M3 Pro 36GB - 512GB | Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-pro-16-inch-m3-pro-2023-36gb-512gb.html,73.990.000đ,173,173.0,74.990.000đ,173.0,Giảm 1%,173.0,500.000đ,MacBook Pro
Laptop ASUS ExpertBook B1402CVA-NK0157W,https://cellphones.com.vn/laptop-asus-expertbook-b1402cva-nk0157w.html,16.990.000đ,174,174.0,18.490.000đ,174.0,Giảm 8%,174.0,680.000đ,Laptop ASUS
Laptop Lenovo ThinkBook 13s G3 ACN 20YA0039VN,https://cellphones.com.vn/laptop-lenovo-thinkbook-13s-g3-acn-20ya0039vn.html,16.490.000đ,175,175.0,25.890.000đ,175.0,Giảm 36%,175.0,660.000đ,Laptop Lenovo
Laptop Acer Aspire Lite 16 AL16-51P-72S2,https://cellphones.com.vn/laptop-acer-aspire-lite-16-al16-51p-72s2.html,15.990.000đ,176,176.0,16.990.000đ,176.0,Giảm 6%,176.0,640.000đ,Laptop Acer
Laptop Lenovo Legion Slim 5 16AHP9 83DH003AVN,https://cellphones.com.vn/laptop-lenovo-legion-slim-5-16ahp9-83dh003avn.html,39.990.000đ,177,177.0,41.990.000đ,177.0,Giảm 5%,177.0,800.000đ,Laptop Lenovo
MacBook Air M3 15 inch 2024 16GB - 512GB | Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-air-m3-15-inch-2024-16gb-512gb.html,41.890.000đ,178,178.0,42.990.000đ,178.0,Giảm 3%,178.0,500.000đ,MacBook Air
Laptop Gaming Acer Nitro V ANV15-51-72VS NH.QNASV.004,https://cellphones.com.vn/laptop-gaming-acer-nitro-v-anv15-51-72vs.html,24.490.000đ,179,179.0,25.990.000đ,179.0,Giảm 6%,179.0,800.000đ,Laptop Gaming
Laptop LG Gram 2023 14Z90R-G.AH53A5,https://cellphones.com.vn/laptop-lg-gram-2023-14z90r-g-ah53a5.html,22.990.000đ,180,180.0,32.490.000đ,180.0,Giảm 29%,180.0,800.000đ,Laptop LG
Laptop Acer Swift Lite 14 AI SFL14-51M-56HS,https://cellphones.com.vn/laptop-acer-swift-lite-14-ai-sfl14-51m-56hs.html,18.990.000đ,181,181.0,19.990.000đ,181.0,Giảm 5%,181.0,760.000đ,Laptop Acer
Laptop Acer Aspire 5 Spin 14 A5SP14-51MTN-78JH,https://cellphones.com.vn/laptop-acer-aspire-5-spin-14-a5sp14-51mtn-78jh.html,16.990.000đ,182,182.0,19.990.000đ,182.0,Giảm 15%,182.0,680.000đ,Laptop Acer
Laptop HP Elitebook 630 G9 6M142PA,https://cellphones.com.vn/laptop-hp-elitebook-630-g9-6m142pa.html,16.990.000đ,183,183.0,19.990.000đ,183.0,Giảm 15%,183.0,680.000đ,Laptop HP
Laptop Asus Rog Strix G15 G513RC HN038W,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513rc-hn038w.html,24.990.000đ,184,184.0,29.900.000đ,184.0,Giảm 16%,184.0,800.000đ,Laptop Asus
Laptop ASUS Zenbook S 13 OLED UX5304MA-NQ117W,https://cellphones.com.vn/laptop-asus-zenbook-s-13-oled-ux5304ma-nq117w.html,40.990.000đ,185,185.0,44.990.000đ,185.0,Giảm 9%,185.0,800.000đ,Laptop ASUS
Mac mini M2 Pro 2023 (10 CPU - 16 GPU - 16GB - 512GB) | Chính hãng Apple Việt Nam,https://cellphones.com.vn/mac-mini-m2-pro-2023.html,31.590.000đ,186,186.0,34.990.000đ,186.0,Giảm 10%,186.0,500.000đ,Mac mini
Laptop ASUS TUF Gaming F15 FX507VU-LP315W,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507vu-lp315w.html,30.490.000đ,187,187.0,34.490.000đ,187.0,Giảm 12%,187.0,800.000đ,Laptop ASUS
MacBook Air 15 inch M2 2023 8GB 512GB | Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-air-15-inch-m2-2023-512gb.html,29.890.000đ,188,188.0,37.990.000đ,188.0,Giảm 21%,188.0,500.000đ,MacBook Air
Laptop Gigabyte MF F2VN333SH,https://cellphones.com.vn/laptop-gigabyte-g5-mf-f2vn333sh.html,19.990.000đ,189,189.0,22.990.000đ,189.0,Giảm 13%,189.0,800.000đ,Laptop Gigabyte
Laptop Gaming Acer Nitro V ANV15-51-57B2,https://cellphones.com.vn/laptop-gaming-acer-nitro-v-anv15-51-57b2.html,23.990.000đ,190,190.0,26.990.000đ,190.0,Giảm 11%,190.0,800.000đ,Laptop Gaming
Laptop ASUS TUF Gaming A16 Advantage Edition FA617NSR-RL100W,https://cellphones.com.vn/laptop-asus-tuf-gaming-a16-advantage-edition-fa617nsr-rl100w.html,25.990.000đ,191,191.0,28.490.000đ,191.0,Giảm 9%,191.0,800.000đ,Laptop ASUS
Laptop ASUS Zenbook DUO UX8406MA-PZ142W,https://cellphones.com.vn/laptop-asus-zenbook-duo-ux8406ma-pz142w.html,58.990.000đ,192,192.0,59.990.000đ,192.0,Giảm 2%,192.0,800.000đ,Laptop ASUS
Laptop Gaming Acer Nitro 5 AN515 58 52SP,https://cellphones.com.vn/laptop-gaming-acer-nitro-5-an515-58-52sp.html,19.490.000đ,193,193.0,28.300.000đ,193.0,Giảm 31%,193.0,780.000đ,Laptop Gaming
Laptop HP 14-EP0112TU 8C5L1PA,https://cellphones.com.vn/laptop-hp-14-ep0112tu-8c5l1pa.html,16.990.000đ,194,194.0,19.590.000đ,194.0,Giảm 13%,194.0,680.000đ,Laptop HP
Laptop ASUS VivoBook 15 X1504VA-NJ069W,https://cellphones.com.vn/laptop-asus-vivobook-15-x1504va-nj069w.html,11.090.000đ,195,195.0,12.690.000đ,195.0,Giảm 13%,195.0,444.000đ,Laptop ASUS
Laptop MSI Cyborg 15 A1VEK-053VN,https://cellphones.com.vn/laptop-msi-cyborg-15-a1vek-053vn.html,28.490.000đ,196,196.0,30.990.000đ,196.0,Giảm 8%,196.0,800.000đ,Laptop MSI
Laptop Dell Inspiron 15 3525 4R52X,https://cellphones.com.vn/laptop-dell-inspiron-15-3525-4r52x.html,12.290.000đ,197,197.0,13.990.000đ,197.0,Giảm 12%,197.0,492.000đ,Laptop Dell
Laptop MSI Prestige 14 EVO B13M-401VN,https://cellphones.com.vn/laptop-msi-prestige-14-evo-b13m-401vn.html,18.990.000đ,198,198.0,19.990.000đ,198.0,Giảm 5%,198.0,760.000đ,Laptop MSI
iMac M3 24 inch 8GB 512GB | Chính hãng Apple Việt Nam,https://cellphones.com.vn/imac-m3-2023-24-inch-8gb-512gb.html,45.990.000đ,199,199.0,46.990.000đ,199.0,Giảm 2%,199.0,500.000đ,iMac M3
Laptop Gigabyte G5 MF5-52VN383SH,https://cellphones.com.vn/laptop-gigabyte-g5-mf5-52vn383sh.html,21.490.000đ,200,200.0,25.790.000đ,200.0,Giảm 17%,200.0,800.000đ,Laptop Gigabyte
Mac Studio M2 Max 2023 (12CPU - 30GPU - 32GB - 512GB) | Chính hãng Apple Việt Nam,https://cellphones.com.vn/mac-studio-m2-max-2023.html,54.690.000đ,201,201.0,54.990.000đ,201.0,Giảm 1%,201.0,500.000đ,Mac Studio
iMac M3 24 inch 16GB 256GB | Chính hãng Apple Việt Nam,https://cellphones.com.vn/imac-m3-2023-24-inch-16gb-256gb.html,40.990.000đ,202,202.0,41.990.000đ,202.0,Giảm 2%,202.0,500.000đ,iMac M3
Laptop MSI Modern 14 C12M-241VN,https://cellphones.com.vn/laptop-msi-modern-14-c12m-241vn.html,14.490.000đ,203,203.0,19.990.000đ,203.0,Giảm 28%,203.0,580.000đ,Laptop MSI
Laptop Vaio FE 14 VWNC51427-BL,https://cellphones.com.vn/laptop-vaio-fe-14-vwnc51427-bl.html,13.990.000đ,204,204.0,17.990.000đ,204.0,Giảm 22%,204.0,560.000đ,Laptop Vaio
Laptop ASUS Vivobook 15 OLED S5507QA-MA090WS,https://cellphones.com.vn/laptop-asus-vivobook-15-oled-s5507qa-ma090ws.html,32.990.000đ,205,205.0,34.990.000đ,205.0,Giảm 6%,205.0,800.000đ,Laptop ASUS
Mac mini M2 2023 (8 CPU - 10 GPU - 24GB - 256GB) | Chính hãng Apple Việt Nam,https://cellphones.com.vn/mac-mini-m2-24gb-2023.html,24.990.000đ,206,206.0,27.990.000đ,206.0,Giảm 11%,206.0,500.000đ,Mac mini
Laptop LG Gram 2023 15Z90RT-G.AH55A5,https://cellphones.com.vn/laptop-lg-gram-2023-15z90rt-g-ah55a5.html,31.990.000đ,207,207.0,42.990.000đ,207.0,Giảm 26%,207.0,800.000đ,Laptop LG
Laptop ASUS TUF Gaming A14 FA401WV-RG062WS,https://cellphones.com.vn/laptop-asus-tuf-gaming-a14-fa401wv-rg062ws.html,42.990.000đ,208,208.0,44.990.000đ,208.0,Giảm 4%,208.0,800.000đ,Laptop ASUS
Laptop MSI Sword 16 HX B14VEKG-039VN,https://cellphones.com.vn/laptop-msi-sword-16-hx-b14vekg-039vn.html,31.990.000đ,209,209.0,34.990.000đ,209.0,Giảm 9%,209.0,800.000đ,Laptop MSI
Laptop Acer Swift Go 14 AI SFG14-73-71ZX NX.KSLSV.002,https://cellphones.com.vn/laptop-acer-swift-go-14-ai-sfg14-73-71zx.html,25.750.000đ,210,210.0,26.990.000đ,210.0,Giảm 5%,210.0,800.000đ,Laptop Acer
Laptop MSI Gaming Sword 16 HX B14VFKG-460VN,https://cellphones.com.vn/laptop-msi-gaming-sword-16-hx-b14vfkg-460vn.html,36.990.000đ,211,211.0,39.990.000đ,211.0,Giảm 8%,211.0,800.000đ,Laptop MSI
Laptop Lenovo Yoga Slim 6 14IRH8 83E0000VVN,https://cellphones.com.vn/laptop-lenovo-yoga-slim-6-14irh8-83e0000vvn.html,24.990.000đ,212,,,,,212.0,800.000đ,Laptop Lenovo
Laptop ASUS ROG Flow GV601VV-NF044W,https://cellphones.com.vn/laptop-asus-rog-flow-x16-gv601vv-nf044w.html,50.990.000đ,213,213.0,54.990.000đ,213.0,Giảm 7%,213.0,800.000đ,Laptop ASUS
Macbook Pro 14 M3 (8 CPU - 10 GPU - 16GB - 1TB) | Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-pro-m3-2023-14-inch-16gb-1tb.html,49.290.000đ,214,214.0,49.900.000đ,214.0,Giảm 1%,214.0,500.000đ,Macbook Pro
Mac mini M2 Pro 2023 (10 CPU - 16 GPU - 32GB - 512GB) | Chính hãng Apple Việt Nam,https://cellphones.com.vn/mac-mini-m2-pro-32gb-2023.html,41.490.000đ,215,215.0,43.990.000đ,215.0,Giảm 6%,215.0,500.000đ,Mac mini
Laptop ASUS ROG Strix G16 G614JIR-N4046W,https://cellphones.com.vn/laptop-asus-rog-strix-g16-g614jir-n4046w.html,58.990.000đ,216,216.0,63.990.000đ,216.0,Giảm 8%,216.0,800.000đ,Laptop ASUS
Laptop HP Pavilion 15-EG3093TU 8C5L4PA,https://cellphones.com.vn/laptop-hp-pavilion-15-eg3093tu-8c5l4pa.html,17.990.000đ,217,217.0,21.290.000đ,217.0,Giảm 16%,217.0,720.000đ,Laptop HP
MacBook Pro 14 M3 8GB - 1TB | Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-pro-14-inch-m3-2023-8gb-1tb.html,42.990.000đ,218,218.0,44.990.000đ,218.0,Giảm 4%,218.0,500.000đ,MacBook Pro
Laptop ASUS TUF Gaming F17 FX706HE-HX011T - Cũ Đẹp,https://cellphones.com.vn/laptop-asus-tuf-gaming-f17-fx706he-hx011t-cu-dep.html,15.690.000đ,219,219.0,31.990.000đ,219.0,Giảm 51%,,,Laptop ASUS
Laptop MSI Cyborg 15 A12VE-412VN,https://cellphones.com.vn/laptop-msi-cyborg-15-a12ve-412vn.html,18.990.000đ,220,220.0,24.990.000đ,220.0,Giảm 24%,220.0,760.000đ,Laptop MSI
Apple MacBook Air 13 inch 128GB MQD32,https://cellphones.com.vn/apple-macbook-air-13-inch-128-gb-mqd32.html,20.600.000đ,221,,,,,,,Apple MacBook
MacBook Air M3 15 inch 2024 8GB - 512GB | Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-air-m3-15-inch-2024-8gb-512gb.html,36.290.000đ,222,222.0,37.990.000đ,222.0,Giảm 4%,222.0,500.000đ,MacBook Air
Laptop MSI Modern 15 B13M-438VN,https://cellphones.com.vn/laptop-msi-modern-15-b13m-438vn.html,13.490.000đ,223,223.0,18.490.000đ,223.0,Giảm 27%,223.0,540.000đ,Laptop MSI
